"year","Measures","Contra.Costa.County..California","Marin.County..California","San.Mateo.County..California","Ventura.County..California","Santa.Clara.County..California","Douglas.County..Colorado","District.of.Columbia","DuPage.County..Illinois","Lake.County..Illinois","Hamilton.County..Indiana","Johnson.County..Kansas","Oakland.County..Michigan","Dakota.County..Minnesota","Washington.County..Minnesota","Bergen.County..New.Jersey","Middlesex.County..New.Jersey","Monmouth.County..New.Jersey","Morris.County..New.Jersey","Somerset.County..New.Jersey","Nassau.County..New.York","Rockland.County..New.York","Suffolk.County..New.York","Westchester.County..New.York","Bucks.County..Pennsylvania","Chester.County..Pennsylvania","Montgomery.County..Pennsylvania","Collin.County..Texas","Fort.Bend.County..Texas","Arlington.County..Virginia","Fairfax.County..Virginia","Loudoun.County..Virginia","Prince.William.County..Virginia","Waukesha.County..Wisconsin","Anne.Arundel.County..Maryland","Baltimore.County..Maryland","Frederick.County..Maryland","Howard.County..Maryland","Montgomery.County..Maryland","Prince.George.s.County..Maryland"
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...50.000.to..74.999..Less.than.20.percent.",10814,2478,6875,7100,13992,2282,4616,11640,6246,4681,8652,23605,7022,4148,4524,6498,4944,3098,2076,7213,1548,8804,5283,9168,5707,11232,7617,6583,1288,7483,1383,2456,7114,6930,14140,3208,2213,7200,6747
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...50.000.to..74.999..20.to.29.percent.",6212,890,2181,4233,5922,2632,3445,9990,7876,5053,9481,18236,6930,3785,6940,6585,5398,4006,2557,9602,2129,12537,5021,7599,4631,8941,8781,6622,830,5595,1610,2725,5390,4637,10247,2409,1629,5854,6622
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...50.000.to..74.999..30.percent.or.more.",19584,3813,10707,14214,21808,5657,6966,18860,15075,3723,7824,18375,7621,4637,16960,15435,13225,9409,6283,27647,5077,35002,15316,13326,9117,14943,11884,9770,2227,14862,4637,6465,7685,10788,13672,4346,4357,15823,20269
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...75.000.or.more..",158393,44657,105414,108714,245869,61406,72901,153614,112130,51292,95122,188200,69349,44536,146655,117865,116309,97837,63879,244207,47443,257516,147878,107132,91879,140580,132959,94396,34086,209984,68360,70843,71593,96580,115375,42471,61437,178401,119428
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...75.000.or.more..Less.than.20.percent.",69281,20690,46690,47654,111311,34596,42487,83035,58955,35841,64743,123759,42854,27428,67797,57640,53987,46690,31045,108644,21505,108525,70995,58243,52753,82607,83639,61457,19801,119913,29159,36166,44082,53271,71319,22128,33177,99489,55084
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...75.000.or.more..20.to.29.percent.",46847,11823,27655,32361,68005,18937,19855,47473,33872,12135,24409,46426,21152,13059,39725,35220,35306,28778,18705,66938,13310,78402,38233,32693,26319,40380,38612,24660,9314,57789,24134,23262,20719,28981,31410,14111,18654,48798,37687
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...75.000.or.more..30.percent.or.more.",42265,12144,31069,28699,66553,7873,10559,23106,19303,3316,5970,18015,5343,4049,39133,25005,27016,22369,14129,68625,12628,70589,38650,16196,12807,17593,10708,8279,4971,32282,15067,11415,6792,14328,12646,6232,9606,30114,26657
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units..Zero.or.negative.income.",973,495,799,764,2212,308,876,1470,856,368,714,2110,446,209,1288,999,820,528,269,1542,338,2272,981,731,590,1018,1458,964,158,894,186,263,358,777,1081,292,158,871,829
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..",128012,38316,104623,93736,259010,19855,152579,85913,58063,21423,64599,138571,37353,16628,115404,95109,57961,43369,25468,86040,29625,99616,131019,50721,44973,82349,92193,40778,51800,120741,23897,36936,35384,51544,105008,21300,27652,117971,113682
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Less.than..20.000..",23794,6237,11894,16430,37454,2306,35952,13427,12677,3211,10730,33736,8705,3753,19595,16451,12867,6174,3499,16352,7264,18244,27168,10102,7838,15490,13240,5226,4951,10934,1813,3500,7299,7015,19478,3376,3098,15009,16373
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Less.than..20.000..Less.than.20.percent.",348,240,92,446,378,12,2012,207,444,104,158,711,187,103,480,289,261,144,123,409,55,258,439,278,144,361,80,44,61,296,40,35,84,259,497,156,122,463,339
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Less.than..20.000..20.to.29.percent.",2053,442,593,1747,3664,26,3896,966,1307,91,524,2488,793,475,1748,1438,1290,593,297,1713,506,1344,1994,854,659,1034,559,107,509,882,123,169,516,605,1412,262,203,1550,909
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Less.than..20.000..30.percent.or.more.",21393,5555,11209,14237,33412,2268,30044,12254,10926,3016,10048,30537,7725,3175,17367,14724,11316,5437,3079,14230,6703,16642,24735,8970,7035,14095,12601,5075,4381,9756,1650,3296,6699,6151,17569,2958,2773,12996,15125
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...20.000.to..34.999..",21330,5580,13465,14987,34381,2591,20798,16227,11304,3643,13418,28302,7255,2719,17478,14340,10960,5958,3895,12733,5092,14686,22814,9717,7603,14832,16667,6559,4697,12397,2231,5201,7821,6883,17850,3340,3742,13757,17805
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...20.000.to..34.999..Less.than.20.percent.",636,288,303,474,1016,9,1753,269,230,83,273,936,352,88,490,373,406,234,96,617,321,404,843,282,383,576,96,222,160,219,19,50,135,312,545,100,34,299,288
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...20.000.to..34.999..20.to.29.percent.",1407,380,484,922,2104,101,2013,1157,1686,715,2989,5960,1068,341,743,616,800,354,274,914,336,1025,1747,1133,974,1786,2056,657,143,416,95,206,1804,311,1156,314,306,585,712
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...20.000.to..34.999..30.percent.or.more.",19287,4912,12678,13591,31261,2481,17032,14801,9388,2845,10156,21406,5835,2290,16245,13351,9754,5370,3525,11202,4435,13257,20224,8302,6246,12470,14515,5680,4394,11762,2117,4945,5882,6260,16149,2926,3402,12873,16805
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...35.000.to..49.999..",18156,4920,13430,14105,29336,2540,18891,14570,8516,4042,12405,20050,6105,2285,14460,12641,8526,5550,3607,11135,3851,13508,17872,8697,6650,11599,15677,6013,4407,13612,3450,5146,6151,7078,18809,3148,3012,16442,21011
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...35.000.to..49.999..Less.than.20.percent.",817,153,386,562,1504,128,1943,485,670,494,1476,3037,401,272,245,527,359,187,98,638,428,715,937,765,422,827,1158,648,54,473,164,72,748,338,797,120,109,280,395
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...35.000.to..49.999..20.to.29.percent.",3664,550,1768,2208,4621,866,5806,6478,3376,2056,6527,9699,3468,669,2947,2681,2297,1045,562,1455,684,1761,3604,2982,2224,4746,7719,2027,482,1527,408,748,3398,961,6675,957,297,2151,5109
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...35.000.to..49.999..30.percent.or.more.",13675,4217,11276,11335,23211,1546,11142,7607,4470,1492,4402,7314,2236,1344,11268,9433,5870,4318,2947,9042,2739,11032,13331,4950,4004,6026,6800,3338,3871,11612,2878,4326,2005,5779,11337,2071,2606,14011,15507
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...50.000.to..74.999..",22475,5889,19684,17567,40776,4268,22501,15864,10220,4088,13271,22819,7542,3295,20653,17507,9802,8676,4693,14278,4965,17812,22125,9472,8370,15198,18832,7058,8352,23379,4698,9022,6819,10424,21707,4441,6155,24198,25162
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...50.000.to..74.999..Less.than.20.percent.",3097,417,1402,1935,3868,819,5345,4093,3484,1961,6620,9849,3071,818,2547,2383,1273,1213,677,1975,696,1715,3419,2220,2052,4450,5743,1843,732,1122,339,822,3476,1133,5025,794,260,1675,3520
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...50.000.to..74.999..20.to.29.percent.",9928,1912,7746,6079,15887,2337,9041,8204,4797,1539,5311,9325,3430,1930,10340,9951,4704,4686,2283,4928,2176,5553,9793,5026,4391,7322,9789,3735,3404,8544,1710,3806,2882,4458,11360,2176,2851,9531,13824
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...50.000.to..74.999..30.percent.or.more.",9450,3560,10536,9553,21021,1112,8115,3567,1939,588,1340,3645,1041,547,7766,5173,3825,2777,1733,7375,2093,10544,8913,2226,1927,3426,3300,1480,4216,13713,2649,4394,461,4833,5322,1471,3044,12992,7818
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...75.000.or.more..",36951,14213,42067,26943,107521,7204,46137,21318,11885,5280,12121,26244,6305,3599,36042,29948,12382,14913,8579,26406,7018,28361,35132,10120,11574,20622,24283,11730,27947,55904,10625,13004,5890,17779,22396,5568,10688,43653,29023
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...75.000.or.more..Less.than.20.percent.",19098,6912,21739,12256,61175,4613,25630,15540,8369,4263,10098,20921,4716,2657,23181,20707,7878,9471,5388,13592,3920,14059,20618,6840,8205,14789,18171,8423,14324,27556,5183,6454,5095,10028,16540,3752,6121,21784,18395
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...75.000.or.more..20.to.29.percent.",14157,5166,15253,10810,37303,2140,15199,4871,2761,986,1753,4443,1474,842,9974,8170,3625,4344,2676,9468,2261,11595,11285,2635,2646,4909,5279,2757,11114,22213,4425,5202,717,6440,5229,1514,3613,16942,8755
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...75.000.or.more..30.percent.or.more.",3696,2135,5075,3877,9043,451,5308,907,755,31,270,880,115,100,2887,1071,879,1098,515,3346,837,2707,3229,645,723,924,833,550,2509,6135,1017,1348,78,1311,627,302,954,4927,1873
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Zero.or.negative.income.",1682,364,1192,994,3790,367,4434,1569,1040,269,716,2668,363,250,2993,1922,992,650,238,1045,446,1748,1568,511,731,1310,1112,892,749,1638,105,305,370,338,1658,320,330,1330,1289
"2013","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..No.cash.rent.",3624,1113,2891,2710,5752,579,3866,2938,2421,890,1938,4752,1078,727,4183,2300,2432,1448,957,4091,989,5257,4340,2102,2207,3298,2382,3300,697,2877,975,758,1034,2027,3110,1107,627,3582,3019
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Total..",380183,103034,258683,267829,614714,105404,267415,337003,241846,105578,217826,489797,155220,89898,335671,282182,233730,179776,115941,441912,98394,496780,342956,231959,185306,307953,296878,198316,96264,391794,110047,134737,153882,201429,313408,87259,107516,362608,305115
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units..",247153,64490,153322,172637,350103,85040,111198,248836,181664,83206,152020,347091,116845,72540,217432,183878,174727,135820,89848,354515,67926,393936,212162,179188,139572,223624,199496,156145,43157,267156,84662,96757,118176,149541,207603,64897,78764,241626,189940
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units..Less.than..20.000..",13257,3233,6765,9738,15596,2625,6968,12518,8910,3135,6411,24625,5211,3310,11686,9293,9146,5061,3957,16754,3139,20901,10228,10030,6808,11703,7396,7983,1134,7444,1520,2408,5582,7203,13436,2716,1630,8303,8776
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units..Less.than..20.000..Less.than.20.percent.",1013,158,396,796,1279,159,366,233,232,183,212,1017,316,135,185,151,248,102,54,427,4,312,684,219,229,350,319,457,30,271,27,108,160,178,682,144,19,183,118
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units..Less.than..20.000..20.to.29.percent.",1303,245,686,960,1468,178,504,435,356,442,541,2081,377,439,163,197,147,63,23,402,111,443,285,487,304,612,392,728,23,251,50,89,305,570,1361,254,115,142,395
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units..Less.than..20.000..30.percent.or.more.",10941,2830,5683,7982,12849,2288,6098,11850,8322,2510,5658,21527,4518,2736,11338,8945,8751,4896,3880,15925,3024,20146,9259,9324,6275,10741,6685,6798,1081,6922,1443,2211,5117,6455,11393,2318,1496,7978,8263
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...20.000.to..34.999..",17376,4228,9985,13447,21547,4228,6698,19657,14844,5950,10508,34040,8346,4700,15733,14237,13091,8046,5333,23496,4102,29229,13361,14857,9717,16785,12047,11870,1229,10005,2043,3933,9760,9483,19499,4551,3285,11648,11774
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...20.000.to..34.999..Less.than.20.percent.",4170,640,2762,3125,5803,623,1333,1639,1623,1512,2127,6115,1518,1027,638,315,723,386,122,1395,174,1099,1482,1408,1237,1941,1825,1906,67,933,269,443,1222,1718,5149,1003,320,1079,887
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...20.000.to..34.999..20.to.29.percent.",2493,464,1375,1942,3134,691,833,3284,2117,1144,2549,7657,1550,950,962,1486,1293,602,483,1550,371,2433,1053,3090,1804,3382,2176,1671,150,1237,246,597,2793,2055,3783,884,561,1762,1787
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...20.000.to..34.999..30.percent.or.more.",10713,3124,5848,8380,12610,2914,4532,14734,11104,3294,5832,20268,5278,2723,14133,12436,11075,7058,4728,20551,3557,25697,10826,10359,6676,11462,8046,8293,1012,7835,1528,2893,5745,5710,10567,2664,2404,8807,9100
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...35.000.to..49.999..",20655,4605,10079,14433,22552,5109,7839,22545,16446,7371,12846,36690,11061,6649,15899,14166,12162,8016,6000,24432,4576,29829,14076,16469,11201,19148,15250,13088,1700,12405,3592,6417,10689,11507,20098,4755,3723,14469,15931
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...35.000.to..49.999..Less.than.20.percent.",6203,1241,3610,4498,7588,955,2465,3907,3209,1852,4265,11379,3343,2348,1044,1169,1367,837,415,2256,576,2917,1932,3632,2378,4877,3550,3448,267,2438,574,1435,3519,3486,7109,1256,821,2531,2872
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...35.000.to..49.999..20.to.29.percent.",2522,681,1290,1946,2750,626,1147,4919,3099,1948,2536,9289,2181,1210,2880,3757,2659,1659,1083,3539,748,4800,2235,4082,2485,4294,2934,2004,402,2300,581,803,2371,1732,3734,804,777,2706,1677
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...35.000.to..49.999..30.percent.or.more.",11930,2683,5179,7989,12214,3528,4227,13719,10138,3571,6045,16022,5537,3091,11975,9240,8136,5520,4502,18637,3252,22112,9909,8755,6338,9977,8766,7636,1031,7667,2437,4179,4799,6289,9255,2695,2125,9232,11382
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...50.000.to..74.999..",35982,6934,18906,25281,41030,10641,14531,39558,28762,13179,25650,59531,21338,12340,27413,27655,23030,16647,10390,43719,8343,55067,24950,29465,19932,34160,28180,23674,4058,26982,7552,12082,19607,22364,37829,10020,8264,27844,33260
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...50.000.to..74.999..Less.than.20.percent.",10821,2317,6785,7488,14300,2340,4769,11931,7081,4818,9174,24708,7546,4386,4339,6584,4953,3289,2093,7044,1415,8760,5136,9488,6104,10536,7981,7441,1337,7522,1672,2796,7327,7170,14225,3218,2292,6934,6992
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...50.000.to..74.999..20.to.29.percent.",6384,914,1980,4370,5959,2768,3510,9957,7554,4965,8996,18335,6708,3802,6476,6338,5341,4033,2454,9271,2107,12453,5376,7165,4571,8701,9119,6742,906,5638,1628,2790,5266,4518,10143,2347,1672,6157,6613
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...50.000.to..74.999..30.percent.or.more.",18777,3703,10141,13423,20771,5533,6252,17670,14127,3396,7480,16488,7084,4152,16598,14733,12736,9325,5843,27404,4821,33854,14438,12812,9257,14923,11080,9491,1815,13822,4252,6496,7014,10676,13461,4455,4300,14753,19655
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...75.000.or.more..",158843,45021,106816,108765,247237,62113,74201,153256,111755,53183,95896,190080,70413,45343,145310,117680,116458,97497,63936,244385,47457,256633,148420,107562,91318,140780,135213,98470,34891,209513,69698,71736,72126,98100,115605,42576,61665,178478,119324
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...75.000.or.more..Less.than.20.percent.",73165,21788,49864,50691,118888,36502,44866,87198,61542,38974,66948,132476,46284,29305,68611,59985,56697,47568,32623,111465,21292,111437,72339,60492,54061,85141,88420,66296,20849,123897,32651,38624,45655,55343,74570,23217,34014,102545,59314
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...75.000.or.more..20.to.29.percent.",47925,11752,28149,32052,67958,18449,19946,44848,32872,11323,23287,42455,19082,12424,40652,34518,34918,28424,18298,67640,13560,79101,38267,32268,25552,39588,36829,24390,9519,56326,23596,23099,20437,29747,30001,13865,18882,48202,37222
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units...75.000.or.more..30.percent.or.more.",37753,11481,28803,26022,60391,7162,9389,21210,17341,2886,5661,15149,5047,3614,36047,23177,24843,21505,13015,65280,12605,66095,37814,14802,11705,16051,9964,7784,4523,29290,13451,10013,6034,13010,11034,5494,8769,27731,22788
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Owner.occupied.housing.units..Zero.or.negative.income.",1040,469,771,973,2141,324,961,1302,947,388,709,2125,476,198,1391,847,840,553,232,1729,309,2277,1127,805,596,1048,1410,1060,145,807,257,181,412,884,1136,279,197,884,875
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..",133030,38544,105361,95192,264611,20364,156217,88167,60182,22372,65806,142706,38375,17358,118239,98304,59003,43956,26093,87397,30468,102844,130794,52771,45734,84329,97382,42171,53107,124638,25385,37980,35706,51888,105805,22362,28752,120982,115175
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Less.than..20.000..",24575,6613,11744,15725,37293,2150,34703,13684,12883,3372,11076,33335,8514,3762,20559,16671,12611,6116,3447,16100,7540,18989,26031,10473,8085,15342,13760,5271,5167,11119,1931,3748,7266,6376,19225,3507,3598,15311,16401
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Less.than..20.000..Less.than.20.percent.",311,155,97,447,465,20,1931,155,364,117,159,709,90,122,467,306,258,158,130,422,24,294,497,324,268,296,60,20,63,300,86,8,75,238,531,147,128,594,335
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Less.than..20.000..20.to.29.percent.",1793,500,652,1646,3274,28,3761,917,1308,104,561,2498,710,424,1769,1351,1095,552,255,1396,479,1217,1984,815,629,1098,581,127,426,937,116,195,467,627,1408,243,199,1389,964
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Less.than..20.000..30.percent.or.more.",22471,5958,10995,13632,33554,2102,29011,12612,11211,3151,10356,30128,7714,3216,18323,15014,11258,5406,3062,14282,7037,17478,23550,9334,7188,13948,13119,5124,4678,9882,1729,3545,6724,5511,17286,3117,3271,13328,15102
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...20.000.to..34.999..",21317,5083,13097,15366,33596,2405,21050,15568,11186,3528,13909,27307,7339,2614,17587,14640,11495,5785,3515,13367,5114,14999,21910,9743,7436,14918,16021,6619,4677,12808,2557,5134,7866,6489,17840,3624,3916,14183,18148
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...20.000.to..34.999..Less.than.20.percent.",687,359,345,441,940,14,1882,295,275,107,338,971,270,80,531,372,440,232,80,501,291,420,852,315,293,510,113,197,138,253,24,28,166,283,505,110,53,216,234
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...20.000.to..34.999..20.to.29.percent.",1087,313,502,827,2114,101,1714,984,1601,559,2875,5616,1122,345,785,704,762,410,194,865,409,929,1238,888,779,1690,1838,441,168,481,181,135,1601,381,1112,272,272,597,624
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...20.000.to..34.999..30.percent.or.more.",19543,4411,12250,14098,30542,2290,17454,14289,9310,2862,10696,20720,5947,2189,16271,13564,10293,5143,3241,12001,4414,13650,19820,8540,6364,12718,14070,5981,4371,12074,2352,4971,6099,5825,16223,3242,3591,13370,17290
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...35.000.to..49.999..",18058,4815,13125,13906,30204,2648,18100,14876,9302,3933,12253,21001,6178,2355,14329,12868,8142,5413,3488,11266,4160,14488,17549,9055,6917,12336,16727,5952,4365,12735,3640,5325,6309,7033,18663,3212,2707,15942,20073
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...35.000.to..49.999..Less.than.20.percent.",773,174,342,442,1392,121,1481,580,586,509,1278,2911,378,249,247,471,338,112,124,570,396,705,819,723,490,846,979,582,34,427,170,132,845,358,610,93,95,333,388
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...35.000.to..49.999..20.to.29.percent.",3586,520,1722,2370,4164,683,5499,6362,3350,1859,6565,10130,3568,711,2768,2690,1982,903,609,1432,788,2025,3405,2962,2081,4616,8085,1966,294,1215,455,725,3399,1117,6461,839,271,1881,4300
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...35.000.to..49.999..30.percent.or.more.",13699,4121,11061,11094,24648,1844,11120,7934,5366,1565,4410,7960,2232,1395,11314,9707,5822,4398,2755,9264,2976,11758,13325,5370,4346,6874,7663,3404,4037,11093,3015,4468,2065,5558,11592,2280,2341,13728,15385
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...50.000.to..74.999..",23041,6138,19385,17527,39933,4178,23012,16735,10377,4346,13484,24673,7862,3361,21666,18519,9715,8947,4790,14026,4698,18481,22372,10179,8444,15737,19295,7677,8244,23654,4709,8955,6667,10354,21808,4722,5842,25113,25512
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...50.000.to..74.999..Less.than.20.percent.",2666,359,1330,1549,3348,644,4998,4283,3149,1978,6394,10304,3105,799,2741,2520,1400,1268,573,1937,686,1814,3616,2220,1728,4238,5623,1932,472,1339,367,715,3156,1098,4963,715,310,1528,3153
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...50.000.to..74.999..20.to.29.percent.",9871,1801,6864,5907,14208,2158,9141,8498,5036,1744,5609,10684,3630,1849,10547,10074,4599,4776,2330,4400,1902,5813,9211,5431,4651,7406,9976,4033,3197,7779,1691,3628,2981,3912,11219,2222,2410,9466,13735
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...50.000.to..74.999..30.percent.or.more.",10504,3978,11191,10071,22377,1376,8873,3954,2192,624,1481,3685,1127,713,8378,5925,3716,2903,1887,7689,2110,10854,9545,2528,2065,4093,3696,1712,4575,14536,2651,4612,530,5344,5626,1785,3122,14119,8624
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...75.000.or.more..",40323,14210,43771,28889,114204,7883,50441,22859,12677,5973,12559,28275,6967,4196,36622,31150,13438,15588,9680,27086,7282,28975,36264,10645,12101,21289,27777,12589,28970,59661,11455,13682,6166,19119,22989,5789,11540,45312,30477
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...75.000.or.more..Less.than.20.percent.",20877,6632,21872,12706,62970,5185,27199,16270,8815,4940,10420,22076,5163,2979,23518,20809,8166,9983,6007,13581,4183,13930,21294,7329,8779,15320,21057,8980,14598,28754,5662,6600,5309,10672,17128,3849,6441,22163,18814
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...75.000.or.more..20.to.29.percent.",15249,5426,16407,11874,39965,2239,17439,5581,3200,938,1865,5097,1614,1107,10215,8993,4151,4561,3060,9827,2305,11903,11870,2526,2539,4952,5742,2967,11519,24271,4594,5758,780,6968,5222,1697,4160,17980,9787
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units...75.000.or.more..30.percent.or.more.",4197,2152,5492,4309,11269,459,5803,1008,662,95,274,1102,190,110,2889,1348,1121,1044,613,3678,794,3142,3100,790,783,1017,978,642,2853,6636,1199,1324,77,1479,639,243,939,5169,1876
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..Zero.or.negative.income.",1790,439,1282,1037,3605,421,4444,1608,1275,299,726,3138,434,290,3182,1873,1033,576,139,1163,418,1786,1950,539,658,1303,1202,974,889,1819,161,264,449,379,1656,323,310,1322,1460
"2014","Tenure.by.Housing.Costs.As.A.Percentage.of.Household.Income...Renter.occupied.housing.units..No.cash.rent.",3926,1246,2957,2742,5776,679,4467,2837,2482,921,1799,4977,1081,780,4294,2583,2569,1531,1034,4389,1256,5126,4718,2137,2093,3404,2600,3089,795,2842,932,872,983,2138,3624,1185,839,3799,3104
